1971,0.233,1.442,1.976,2.581,0.882,0.212,0.167,1.421,1.512,1.752,0.555,0.145,1.073
1972,0.329,0.673,0.128,-0.456,-1.522,-1.683,-1.844,-1.115,-1.477,-1.134,-0.384,-1.47,-0.83
1973,-0.429,-1.466,-0.064,-0.372,0.252,1.222,0.626,1.179,1.271,0.85,2.847,1.762,0.64
1974,2.163,1.487,2.105,1.273,1.238,0.141,1.229,0.555,1.163,0.723,-0.423,-0.144,0.959
1975,-0.625,0.459,1.135,1.484,0.51,1.685,2.129,2.03,2.151,1.67,1.246,2.054,1.327
1976,1.187,1.185,1.334,0.24,0.501,-0.159,-1.238,-1.459,-1.292,0.13,0.761,-0.48,0.059
1977,-0.393,0.647,-1.202,-1.173,-1.185,-2.327,-1.453,-1.422,-0.946,-1.386,-1.556,-1.228,-1.135
1978,-0.48,-2.632,-0.818,-0.878,1.498,0.402,0.529,0.12,0.058,-0.76,-0.281,-0.21,-0.288
1979,-0.452,0.608,-0.488,-0.646,0.459,0.58,-0.764,-0.692,0.113,-0.367,-0.612,-0.896,-0.263
1980,0.275,-0.017,-1.065,-1.595,-0.349,-0.679,-0.144,-0.056,-0.538,-0.337,-0.472,-0.209,-0.432
1981,0.272,-0.469,-2.009,-0.604,0.817,1.281,0.873,0.404,0.52,-0.705,0.075,0.405,0.072
1982,0.867,-0.034,0.052,-0.456,-0.735,-2.488,-1.89,-2.662,-2.122,-2.204,-3.248,-2.476,-1.45
1983,-3.362,-3.463,-3.255,-1.405,0.787,-0.584,-0.704,-0.365,0.913,0.34,-0.115,-0.167,-0.948
1984,-0.033,0.434,-0.847,0.387,-0.034,-1.219,0.121,0.098,0.171,-0.607,0.117,-0.239,-0.138
1985,-0.548,0.787,0.2,1.421,-0.146,-1.395,-0.198,0.662,0.002,-0.76,-0.348,0.124,-0.017
1986,0.824,-1.283,-0.085,0.113,-0.635,1.014,0.241,-0.853,-0.529,0.535,-1.573,-1.64,-0.322
1987,-0.755,-1.409,-2.026,-2.692,-2.116,-2.687,-1.816,-1.667,-1.128,-0.691,-0.074,-0.664,-1.477
1988,-0.313,-0.645,0.126,-0.035,1.088,-0.2,1.166,1.362,1.919,1.346,1.92,1.089,0.735
1989,1.314,0.802,0.589,2.18,1.447,0.812,0.948,-0.821,0.517,0.61,-0.381,-0.619,0.617
1990,-0.214,-1.785,-1.088,-0.013,1.411,-0.067,0.572,-0.707,-0.779,-0.171,-0.683,-0.382,-0.326
1991,0.445,-0.057,-1.35,-1.553,-1.744,-0.792,-0.072,-1.066,-1.643,-1.55,-0.769,-2.018,-1.014
1992,-2.849,-1.046,-2.849,-2.059,0.059,-1.823,-0.629,-0.011,0.064,-2.03,-0.844,-0.714,-1.228
1993,-0.931,-0.958,-1.126,-2.291,-0.593,-2.176,-1.06,-1.726,-0.78,-1.568,-0.132,0.075,-1.106
1994,-0.251,-0.057,-1.348,-2.629,-1.264,-1.463,-1.703,-2.033,-1.704,-1.582,-0.806,-1.411,-1.354
1995,-0.509,-0.345,0.236,-1.722,-0.914,-0.308,0.437,-0.105,0.281,-0.335,-0.016,-0.716,-0.335
1996,0.816,-0.022,0.527,0.915,0.465,1.596,0.695,0.325,0.656,0.258,-0.207,0.708,0.561
1997,0.293,1.207,-1.095,-1.553,-2.408,-3.016,-0.905,-2.306,-1.552,-1.685,-1.311,-1.122,-1.288
1998,-2.527,-1.975,-3.312,-2.797,0.173,1.053,1.488,0.825,1.036,1.005,1.005,1.322,-0.225
1999,1.583,0.575,0.785,2.096,0.436,0.004,0.517,-0.029,-0.072,0.946,1.221,1.37,0.786
2000,0.471,1.236,0.882,1.758,0.415,-0.872,-0.345,0.484,0.973,0.866,2.019,0.774,0.722
2001,0.78,1.002,0.46,-0.182,-0.836,-0.195,-0.27,-1.014,0.112,-0.376,0.638,-1.055,-0.078
2002,0.202,0.644,-0.807,-0.477,-1.543,-1.023,-0.696,-1.622,-0.658,-0.787,-0.595,-1.296,-0.722
2003,-0.305,-0.899,-0.915,-0.477,-0.849,-1.751,0.258,-0.348,-0.183,-0.265,-0.318,0.924,-0.427
2004,-1.307,0.774,-0.108,-1.912,1.217,-1.908,-0.715,-0.9,-0.314,-0.423,-1.055,-0.938,-0.632
2005,0.205,-2.99,-0.265,-1.216,-1.458,0.105,0.057,-0.972,0.339,1.117,-0.418,0.012,-0.457
2006,1.294,-0.115,1.319,1.168,-0.957,-0.976,-0.899,-1.754,-0.604,-1.515,0.051,-0.394,-0.282
2007,-0.829,-0.378,-0.305,-0.351,-0.299,0.138,-0.443,0.008,0.117,0.44,0.819,1.488,0.034
2008,1.535,2.048,1.04,0.556,-0.25,0.34,0.195,0.637,1.264,1.522,1.643,1.427,0.996
2009,0.847,1.375,-0.208,1.062,-0.862,-0.447,0.184,-0.59,0.351,-1.664,-0.675,-0.947,-0.131
2010,-1.126,-1.589,-1.399,1.885,0.853,0.236,1.953,1.77,2.436,1.796,1.623,2.904,0.945
2011,2.005,2.116,2.086,3.024,0.465,-0.04,1.111,0.065,1.137,0.905,1.412,2.454,1.395
2012,0.896,0.219,0.196,-0.646,-0.385,-1.507,-0.152,-0.744,0.22,0.17,0.328,-0.775,-0.182
2013,-0.104,-0.473,1.064,0.008,0.903,1.453,0.764,-0.227,0.405,-0.337,0.749,-0.046,0.347
2014,1.187,-0.325,-1.698,0.809,0.723,-0.459,-0.256,-1.424,-0.658,-0.862,-0.96,-0.659,-0.382
2015,-0.866,-0.042,-1.396,-0.267,-1.044,-1.715,-1.414,-2.147,-1.65,-1.912,-0.633,-0.997,-1.174
2016,-2.122,-2.094,-0.755,-2.608,0.216,0.441,0.448,0.404,1.278,-0.66,-0.227,0.19,-0.457
2017,0.077,-0.328,0.409,-0.752,0.23,-1.392,0.847,0.167,0.622,0.753,0.935,-0.265,0.109
2018,0.861,-0.731,0.905,0.577,0.429,-0.836,0.112,-0.87,-0.933,0.324,0.034,0.926,0.067
